customer,car,price,date
Customer 1,Honda Civic,22000,2025-01-10 19:24:33
Customer 3,Audi A4,39000,2025-01-10 19:24:33
Customer 6,Toyota Corolla,20000,2025-01-10 19:24:33
Customer 7,Chevrolet Camaro,25000,2025-01-10 19:24:33
Customer 8,Honda Civic,22000,2025-01-10 19:24:33
Customer 9,Toyota Corolla,20000,2025-01-10 19:24:33
Customer 13,Ford Mustang,26000,2025-01-10 19:24:33
Customer 15,Honda Civic,22000,2025-01-10 19:24:33
Customer 16,Chevrolet Camaro,25000,2025-01-10 19:24:33
Customer 19,Toyota Corolla,20000,2025-01-10 19:24:33
Customer 20,Chevrolet Camaro,25000,2025-01-10 19:24:33
Customer 5,Toyota Corolla,20000,2025-01-10 19:24:34
Customer 12,Toyota Corolla,20000,2025-01-10 19:24:34
Customer 15,Honda Civic,22000,2025-01-10 19:24:34
Customer 2,Honda Civic,22000,2025-01-10 19:24:35
Customer 7,Chevrolet Camaro,25000,2025-01-10 19:24:35
Customer 17,Toyota Corolla,20000,2025-01-10 19:24:35
Customer 18,Ford Mustang,26000,2025-01-10 19:24:35
Customer 19,Toyota Corolla,20000,2025-01-10 19:24:35
Customer 1,Ford Mustang,26000,2025-01-10 19:24:36
Customer 9,Honda Civic,22000,2025-01-10 19:24:36
Customer 16,Toyota Corolla,20000,2025-01-10 19:24:36
Customer 20,Toyota Corolla,20000,2025-01-10 19:24:36
Customer 3,Honda Civic,22000,2025-01-10 19:24:37
Customer 4,Chevrolet Camaro,25000,2025-01-10 19:24:37
Customer 6,Honda Civic,22000,2025-01-10 19:24:37
Customer 8,Honda Civic,22000,2025-01-10 19:24:37
Customer 10,Toyota Corolla,20000,2025-01-10 19:24:37
Customer 13,Toyota Corolla,20000,2025-01-10 19:24:37
Customer 14,Toyota Corolla,20000,2025-01-10 19:24:37
Customer 5,Toyota Corolla,20000,2025-01-10 19:24:38
Customer 11,Toyota Corolla,20000,2025-01-10 19:24:38
Customer 15,Chevrolet Camaro,25000,2025-01-10 19:24:38
Customer 17,Toyota Corolla,20000,2025-01-10 19:24:39
Customer 19,Honda Civic,22000,2025-01-10 19:24:39
Customer 2,Toyota Corolla,20000,2025-01-10 19:24:40
Customer 12,Honda Civic,22000,2025-01-10 19:24:40
Customer 18,Honda Civic,22000,2025-01-10 19:24:40
Customer 20,Toyota Corolla,20000,2025-01-10 19:24:40
Customer 1,Honda Civic,22000,2025-01-10 19:24:41
Customer 6,Toyota Corolla,20000,2025-01-10 19:24:41
Customer 7,Honda Civic,22000,2025-01-10 19:24:41
Customer 9,Toyota Corolla,20000,2025-01-10 19:24:41
Customer 14,Toyota Corolla,20000,2025-01-10 19:24:41
Customer 16,Honda Civic,22000,2025-01-10 19:24:41
Customer 3,Toyota Corolla,20000,2025-01-10 19:24:42
Customer 4,Toyota Corolla,20000,2025-01-10 19:24:42
Customer 13,Chevrolet Camaro,25000,2025-01-10 19:24:42
Customer 17,Toyota Corolla,20000,2025-01-10 19:24:42
